,Snippet,Keyword,Assigned_Gender,Character_Name
2398,"name something which may be disturbed. He thought over, idly, various means of unlawful exit from the world, and applied them to his own case. He decided against the means employed by the desperate bank cashier; he decided against the fiery draught of acid swallowed by a love-distracted girl; he decided against the leap from a ferry-boat taken by an unknown man, whose body lay unidentified in the morgue; he decided against illuminating gas, which had released from the woes of life a man and his three children; he thought rather favorably of charcoal; he thought also rather favorably of morphine ; he thought more favorably still of the opening of a vein, employed by fastidious old Romans who had enough of feast and gladiators and life generally and wished for a chance to leave the entertainment. All this was the merest idleness of suggestion, a species of rather ghastly amusement, it is true, but none the less amusement, of an unemployed and melancholy mind. But suddenly, something new and hitherto unexperienced was over him, a mood which he had never imagined, a possibility which he had never grasped. His brain, tried to the extreme by genuine misery, tried in addition",morphine,Male,Anonymous
4901,"square table and a boy brought in bowls of tea, pale and scented with jasmine. The Manchu lady handed Kitty a green tin of Three Castles cigarettes. Beside the table and the chairs the room contained little furniture; there was a wide pallet bed on which was an embroidered head rest and two sandalwood chests. ""What does she do with herself all day long?"" asked Kitty. ""She paints a little and sometimes she writes a poem. But she mostly sits. She smokes, but only in moderation, which is fortunate, since one of my duties is to prevent the traffic in opium ."" ""Do you smoke?"" asked Kitty. ""Seldom. To tell you the truth I much prefer whisky."" There was in the room a faintly acrid smell; it was not unpleasant, but peculiar and exotic. ""Tell her that I am sorry I cannot talk to her. I am sure we have many things to say to one another."" When this was translated to the Manchu she gave Kitty a quick glance in which there was the hint of a smile. She was impressive as she sat, without embarrassment, in her beautiful clothes; and from the painted face the eyes looked out wary,",opium,Female,Kitty
1633,"you, but he has been hit awful hard too. You mustn't think too badly of me, Annie, but I have had such a bad time that I couldn't put up with it any longer, and I thought the best thing I could do would be to go.' That's just how he talked--nice words to hear your husband speak in your ear through the darkness! There was no time to send for the doctor, so I jumped out of bed, put the kettle on, and made him drink glass after glass of salt and water. At last he brought up the laudanum ."" Esther listened to the melancholy woman, and remembered the little man whom she saw every day so orderly, so precise, so sedate, so methodical, so unemotional, into whose life she thought no faintest emotion had ever entered--and this was the truth. ""So long as I only had myself to think of I didn't mind; but now there are the children growing up. He should think of them. Heaven only knows what will become of them... John is as kind a husband as ever was if it weren't for that one fault; but he cannot resist having something on any",laudanum,Male,Esther
678,"the bank? It was necessary to put the Lascar aside, gently and slowly, because it was necessary to save the boats, and, further, to demonstrate the extreme ease of the problem that looked so difficult. And then--but it was of no conceivable importance--a wire-rope raced through his hand, burning it, the high bank disappeared, and with it all the slowly dispersing factors of the problem. He was sitting in the rainy darkness--sitting in a boat that spun like a top, and Peroo was standing over him. “I had forgotten,” said the Lascar, slowly, “that to those fasting and unused, the opium is worse than any wine. Those who die in Gunga go to the Gods. Still, I have no desire to present myself before such great ones. Can the Sahib swim?” “What need? He can fly--fly as swiftly as the wind,” was the thick answer. “He is mad!” muttered Peroo, under his breath. “And he threw me aside like a bundle of dung-cakes. Well, he will not know his death. The boat cannot live an hour here even if she strike nothing. It is not good to look at death with a clear eye.” He refreshed himself again from the tin",opium,Male,Peroo
3768,"as Rose acknowledged, he sorely needed some one to keep him from fussing when she had gone to perform the same kind office to Lewis. Nevertheless, Gwen Boynton, when she came back to society after the shock of Dan's death, had lost some of her charm, and, from being a fascinating woman, had become elegant and interesting, as befitted one with a history. Life, she said, was so mysterious. Humanity a mere shuttlecock in the hand of Fate beaten backwards and forwards by devastating passions! Altogether the world was a sad sojourning in which a vague mysticism was the only anodyne for the sensitive. She became a half-hearted disciple of Madame Blavatsky's, and reached what may be called the climax of her kindly, absolutely untrustworthy nature, when with tears in her eyes and much gentle mournful resignation to the mysterious inevitable, she would tell the story which she had heard from Rose, of how Dan Fitzgerald and George Keene had been measured for heroes in the potter's yard, and of their sad deaths within the year. Of course it was incredible; and yet----? Thus, none of the actors in the little drama ever knew the whole truth about it. Gwen had",anodyne,Female,Rose
510,"fifty years of professional experience behind him. ""The man is dead, or I never saw death,"" he declared. ""By a hundred independent evidences we can be positive. Post-mortem stains have already appeared, and were they ever known on a living body? Of the others who died in this room I know nothing personally; but here is death, and in twenty-four hours the fact will be plain to the perception of an idiot. What has happened is this: the London police have heard of a famous, recent German case mentioned in 'Deutsche Medizinische Wochenschraft'--an astonishing thing. A woman, who had taken morphine and barbital, was found apparently dead after a night's exposure in some lonely spot. There were no reflexes, no pulse, no respiration or heart-beat. Yet she was alive--existing without oxygen--an impossibility as we had always supposed. Seeing no actual evidence of death, the physicians injected camphor and caffein and took other restorative steps, with the result that in an hour the woman breathed again! Twenty-four hours later she was conscious and able to speak. It is assumed that the poison and the cold night air together had paralyzed her vasomotor nerves and reduced her body to a state akin to",morphine,Female,Anonymous
3131,"diphtheria. He offered to perform tracheotomy, but as I considered that the respiratory centres had been paralyzed by morphine, I could see no advantage in that."" ""So whilst you two doctors argued, the patient died?"" ""It was too late for us to save her life. The coma was too deep. It was a hopeless case."" ""Now, then, Doctor, let us come to those symptoms. You enumerated a list, and claimed that you observed them all. The first is cold sweat. Did you notice that specially?"" ""The cold sweat was present, but not very marked. It would be less so with morphine than with other forms of opium."" ""Oh! So there was not much sweat after all? Now was there more than would be expected on a warm night such as that was?"" ""I think so. It is only valuable as a diagnostic sign in conjunction with the other symptoms."" ""Next we have slow pulse. This was a half hour before death. Does not the pulse become slow in many cases just before death?"" ""Yes."" ""Very good. Not much sweat, and slow pulse does not amount to anything. What next? Oh! 'stertorous breathing.' That is not uncommon in diphtheria, is it, Doctor?""",morphine,Male,Anonymous
4855,"the unpleasant after-effects of alcohol, or the so-called habit-forming drugs. In truth, many persons of weak individuality will be physically advanced by circine.” He continued to speak distinctly, in his thin, distant voice. “It is the prime virtue in circine that it builds up and hardens the individuality of the user. It makes him, in the end, wholly self-sufficient. He will not go to another for any element of sensation. It is the influence of exterior organisms that the circine continually resists. “All drugs released by us have had some psychic effect, as for example, the degenerative moral effect of opium . This psychic influence of circine is not degenerative in the individual, but it is eliminative of all influences psychic, exterior to the individual. I do not mean that it touches ordinary sensation which is of physical origin. But it removes all response to foreign psychic stimuli or physical stimuli moving from a psychic origin—as, for example, the love lure in its various psychic and psycho-physical expressions. “Under the influence of circine, that basic element of the individual which he calls himself is built up to a completeness which will wholly reject any sensation depending upon another, whether that sensation",opium,Unknown,Anonymous
2444,"their galleons in the Stock Exchange. Those five to gather at the call of Mr. Harley were of our modern Drakes. He told them, under seal of secrecy, Storri's programme, and put before them the documents, Russian, Canadian, and Chinese. Mr. Harley felt somewhat justified of his own enthusiasm when he observed the serious glow in the eyes of those five. They sent to Mott Street, and brought back a learned Oriental to translate the Chinese silk. The Mott Street one, himself a substantial merchant and a Mongol of high caste, appeared wrapped in rustling brocades and an odor of opium . When he beheld the yellow silk he bent himself, and smote the floor three times with his forehead. More than anything told by Mr. Harley did this profound obeisance of the Mott Street Oriental leave its impress upon the five. They, themselves, bowed to nothing save gold; the silken document must record a franchise of gravity and money-moment to thus set their visitor to beating the carpet with his head! Having done due honor to the Emperor's signature, the Mott Street one gave Mr. Harley and his friends the silken document's purport in English. It granted every right, railway,",opium,Male,Harley
2024,"Cochrane. Get up on the rocks presently, and you’ll see a lovely sight. No time to stop, for we shall be in action again in five minutes. Anything I can do before I go?” “You haven’t got such a thing as a cigar?” asked the Colonel wistfully. Archer drew a thick satisfying partaga from his case, and handed it down, with half-a-dozen wax vestas. Then he cantered after his men, and the old soldier leaned back against the rock and drew in the fragrant smoke. It was then that his jangled nerves knew the full virtue of tobacco, the gentle anodyne which stays the failing strength and soothes the worrying brain. He watched the dim blue reek swirling up from him, and he felt the pleasant aromatic bite upon his palate, while a restful languor crept over his weary and harassed body. The three ladies sat together upon a flat rock. “Good land, what a sight you are, Sadie!” cried Miss Adams suddenly, and it was the first reappearance of her old self. “What _would_ your mother say if she saw you? Why, sakes alive, your hair is full of straw and your frock clean crazy!” “I guess we all want",anodyne,Male,Archer
321,"for noisier and less-imposing precincts. It is so quiet, that you can almost hear the ticking of your own watch when you stop to cool in its refreshing atmosphere. There is a distant hum--of coaches, not of insects--but no other sound disturbs the stillness of the square. The ticket porter leans idly against the post at the corner: comfortably warm, but not hot, although the day is broiling. His white apron flaps languidly in the air, his head gradually droops upon his breast, he takes very long winks with both eyes at once; even he is unable to withstand the soporific influence of the place, and is gradually falling asleep. But now, he starts into full wakefulness, recoils a step or two, and gazes out before him with eager wildness in his eye. Is it a job, or a boy at marbles? Does he see a ghost, or hear an organ? No; sight more unwonted still--there is a butterfly in the square--a real, live butterfly! astray from flowers and sweets, and fluttering among the iron heads of the dusty area railings. But if there were not many matters immediately without the doors of Cheeryble Brothers, to engage the attention or distract",soporific,Male,Anonymous
2670,"is a model of candid statement, treating of Crabbe's little weaknesses--and who of us has not his little weaknesses--in the most cheery possible manner. It is perhaps a small matter to tell us in one place of his father's want of ""taste,"" his insensibility to the beauty of order in his composition--that had been done by the critics before him; but he even has something to say about the philandering which characterized the old gentleman in the last years of his life, his apparent anxiety to get married again. {106} The only thing that he all but ignores is Crabbe's opium habit--a habit that came to him as a sedative from a painful complaint and inspired, as was the case with Coleridge, his more melodious utterances. Taken altogether the picture is as pleasant as it is capable and exhaustive. We see his early boyhood at Aldeburgh, his schooldays: his first period of unhappiness at Slaughden Quay, his apprenticeship near Bury St. Edmunds, where we seem to hear his master's daughters, when he reached the door, exclaim with laughter, ""La! Here's our new 'prentice."" We follow him a little higher, to the house of the Woodbridge surgeon, then through his prolonged courtship",opium,Male,Woodbridge
4556,"awful strict, I expect” She sighed and sank back in her chair. “It’s such a large order--marriage. I’m so young. A girl mortgages her whole future.” She always approached these discussions from the angle of doubt. “When it was too late, you might see a girl you liked better.” He assured her of the impossibility. She shook her head wisely. “It has happened.” He read in her distrust the influence of the people among whom her girlhood had been spent, the Vashtis, Fluffys, and Mr. Daks--the slaves of freedom who, having disdained the best in life, used pleasure as a narcotic . He knew that it was not his inconstancy that she dreaded, but the chance that after marriage she herself might be fascinated by some man. The knowledge made him cautious. Nothing that he could say would carry any weight; he would be a defendant witnessing in his own defense. That she was willing to open her mind to him kept him hopeful. It was a step forward. He brought his mother to see her. When she had gone Desire said, “I know now what you meant when you wanted me to be proud of you. I’d give anything to",narcotic,Male,Daks
89,"of infidelity, and realizes the significance of the act without being wholly awakened from its glamour. The thought was passing vaguely through her mind, “What would he think?” She did not mean her husband; she was thinking of Robert Lebrun. Her husband seemed to her now like a person whom she had married without love as an excuse. She lit a candle and went up to her room. Alcée Arobin was absolutely nothing to her. Yet his presence, his manners, the warmth of his glances, and above all the touch of his lips upon her hand had acted like a narcotic upon her. She slept a languorous sleep, interwoven with vanishing dreams. XXVI Alcée Arobin wrote Edna an elaborate note of apology, palpitant with sincerity. It embarrassed her; for in a cooler, quieter moment it appeared to her absurd that she should have taken his action so seriously, so dramatically. She felt sure that the significance of the whole occurrence had lain in her own self-consciousness. If she ignored his note it would give undue importance to a trivial affair. If she replied to it in a serious spirit it would still leave in his mind the impression that she had",narcotic,Female,Arobin
3804,"Douglas occupied one end of the long low barrack of a place, and Herbert Erlton the other. The former having come back from the city in an evil temper to get something to eat before starting for Delhi, had found his horse, the Belooch, unaccountably indisposed; Jhungi, who had brought her there safely, professing entire ignorance of the cause, or, on pressure, suggesting the nefarious Bhungi. Tiddu asserting--with a calm assumption of superior knowledge, for which Jim Douglas could have kicked him--that the mare had been drugged. As if anybody could not tell that? And that the drug had been opium . To which the old scoundrel had replied affably that in that case the effects would pass off during the night, and the mare be none the worse; no one be any the worse, since the Huzoor was quite comfortable in Meerut, and could _easily stay another day_. It was a nicer place than Delhi; there were more sahibs in it, and the presence of the ""_ghora logue_"" (_i. e_., English soldiers) kept everyone virtuous. His hearer looked at him sharply. Here was some other trick, no doubt, to cozen him out of another five rupees; for something, maybe, as",opium,Male,Jim Douglas
4055,"have free access to my body, and you will attach the bandages upon my face to the little spring catch which you see upon the inside of the case, near the upper part. Cover my face and bandages well with plaster of Paris, so that no entrance may be given to the ozone. Take those eight bottles of ozone, and quickly empty the contents upon both sides of my body, into the side troughs which you see, and at once close the door. I will take this position at 2:30 o'clock, and immediately take a dose of five grains of opium . In twenty minutes after, by your watches, you will turn this wheel on the side, one point, and every minute thereafter a point, until the forty-five points, or full revolution of the wheel, have been passed over. This is to shut off the supply of air gradually as the ozone commences to enter through the pores of my body. Have some fresh plaster ready, so that the instant this is accomplished, you can, by quickly opening the little door, pull out the tube from my mouth, and cover the opening with a spoonful of plaster; then, as quickly as",opium,Unknown,Anonymous
111,"whom you, personally, may at some time unwittingly, have been--I am aware that much must be omitted. I have no space for lengthy examinations of the many points but ill illuminated with which it is dotted. This incident at the docks is but one such point. Another is the singular vision which appeared to me whilst I lay in the cellar of the house near Windsor. It has since struck me that it possessed peculiarities akin to those of a hashish hallucination. Can it be that we were drugged on that occasion with Indian hemp? Cannabis indica is a treacherous narcotic , as every medical man knows full well; but Fu-Manchu's knowledge of the drug was far in advance of our slow science. West's experience proved so much. I may have neglected opportunities--later, you shall judge if I did so--opportunities to glean for the West some of the strange knowledge of the secret East. Perhaps, at a future time, I may rectify my errors. Perhaps that wisdom--the wisdom stored up by Fu-Manchu--is lost forever. There is, however, at least a bare possibility of its survival, in part; and I do not wholly despair of one day publishing a scientific sequel to",narcotic,Male,Fu-Manchu's
3132,"good. Not much sweat, and slow pulse does not amount to anything. What next? Oh! 'stertorous breathing.' That is not uncommon in diphtheria, is it, Doctor?"" ""No."" ""Just so. Now then, 'gradually deepening coma.' That is to say, a slow sinking into unconsciousness. Or I might say, dying slowly. Is a slow death of this kind only possible where opium poisoning has occurred?"" ""No."" ""Lastly we have the contracted pupils. That is your best diagnostic symptom, is it not, Doctor?"" ""Yes. It is a plain indication of opium."" ""Now then, Doctor, admitting that the contracted pupils are a sign of morphine , how did you determine, in that darkened room, that there was a contraction of the pupils?"" ""I passed a candle before her eyes, and they gave no response, whilst the pupils were contracted minutely."" ""How small?"" ""As small as a pin's point."" ""Now then, Doctor, you answered a lengthy question for Mr. Munson and you told us that these symptoms, that is, all of them occurring together, would not be found in any other condition than that which in your opinion would be the result of opium poisoning. Please listen to this question and give me an answer. Suppose",morphine,Female,Munson
1971,"only--and the wrong one at that, as I suspected: that Jeffrey Blackmore's will was a perfectly regular, sound and valid document. I tried to attack the validity of the will from various directions, and failed every time. As to its genuineness, that was obviously not in question. There seemed to me only two conceivable respects in which any objection could be raised, viz. the competency of Jeffrey to execute a will and the possibility of undue influence having been brought to bear on him. With reference to the first, there was the undoubted fact that Jeffrey was addicted to the opium habit, and this might, under some circumstances, interfere with a testator's competency to make a will. But had any such circumstances existed in this case? Had the drug habit produced such mental changes in the deceased as would destroy or weaken his judgment? There was not a particle of evidence in favour of any such belief. Up to the very end he had managed his own affairs, and, if his habits of life had undergone a change, they were still the habits of a perfectly sane and responsible man. The question of undue influence was more difficult. If it applied",opium,Male,Jeffrey
2601,"and knew that here, indeed, was the limit of human habitation. Next day the work of exploration had begun in earnest. Week after week, with unwearying persistence, they had pushed on, upward, always upward, through regions sacred to the eagles and the clouds; working along streams that cut their way through hillsides steep as houses, or along tracks that ran to polished ledges of rock and dropped sheer to unimaginable depths; clambering over formidable ranges by any chance opening that could be dignified by the name of a pass; the eternally cheery Gurkhas solacing themselves with rum; the Pathans with opium ; the Scot with rare nips of brandy, on the bitterest nights. Still more rarely,--at wider and wider intervals of time,--he drew from his breast-pocket a pill-box, like the one still locked in his writing-table drawer at home. Its contents were running very low by now; and, once gone, they would never again be replenished. That he knew; with a knowledge born not of arrogance, but of faith that somehow, somewhen the right must prevail. And to-night,--as he sat alone by the fire, watching the greyness of death quench spark after spark of living light, while a late moon sailed",opium,Male,Scot
2512,"screens used to isolate dying patients had been placed against this cot, which was the last at that end of the ward, and the space beyond formed a secluded corner, where a few words could be exchanged out of reach of the eyes in the other beds. ""Is he asleep?"" Amherst asked, as Miss Brent joined him. Miss Brent glanced at him again. His voice betokened not merely education, but something different and deeper--the familiar habit of gentle speech; and his shabby clothes--carefully brushed, but ill-cut and worn along the seams--sat on him easily, and with the same difference. ""The morphine has made him drowsy,"" she answered. ""The wounds were dressed about an hour ago, and the doctor gave him a hypodermic."" ""The wounds--how many are there?"" ""Besides the hand, his arm is badly torn up to the elbow."" Amherst listened with bent head and frowning brow. ""What do you think of the case?"" She hesitated. ""Dr. Disbrow hasn't said----"" ""And it's not your business to?"" He smiled slightly. ""I know hospital etiquette. But I have a particular reason for asking."" He broke off and looked at her again, his veiled gaze sharpening to a glance of concentrated attention. ""You're not",morphine,Male,Brent
2120,"taken to his heels. No one knows where he is, or at least no one admits he does. You know these Oriental chaps. They can cover the scent of a rotten herring. He'll probably never turn up again. The place is too hot to hold him. He can finish his rotting in another corner of the Empire; and I wish Netta Ermsted joy of her bargain!"" ended Tommy with vindictive triumph. ""My good fellow!"" protested Bernard. Tommy uttered a reckless laugh. ""You know it as well as I do. She was done for from the moment he taught her the opium habit. There's no escape from that, and the devil knew it. I say, what a mercy it will be when you can get Tessa away to England."" ""And Stella too,"" said Bernard, turning to the subject with relief. ""You won't do that,"" said Tommy quickly. ""How do you know that?"" Bernard's look had something of a piercing quality. But Tommy eluded all search. ""I do know. I can't tell you how. But I'm certain--dead certain--that Stella won't go back to England with you this spring."" ""You're something of a prophet, Tommy,"" remarked Bernard, after an attentive pause. ""It's not my",opium,Male,Tommy
423,"He tossed the jemmy up to Coombes, and Coombes succeeded in catching it. Then Kerry raised the glass-less sash of the window and stepped into a little room, which he surveyed by the light of his electric torch. It was filthy and littered with rubbish, but showed no sign of having been occupied for a long time. The ceiling was nearly black, and so were the walls. He went out into a narrow passage similar to that in the house of Sin Sin Wa and leading to a stair. Walking quietly, he began to ascend. Mollie Gretna’s description of the opium -house had been most detailed and lurid, and he was prepared for some extravagant scene. He found three bare, dirty rooms, having all the windows boarded up. “Hell!” he said succinctly. Resting his torch upon a dust-coated ledge of the room, which presumably was situated in the front of the house, he deposited a cud of chewing-gum in the empty grate and lovingly selected a fresh piece from the packet which he always carried. Once more chewing he returned to the narrow passage, which he knew must be that in which the secret doorway had opened. It was uncarpeted and",opium,Male,Mollie Gretna’s
1730,"knew spoke my tongue, having sailed to Calcutta often with horses. So I told him all my tale, using bazaar-talk, such as his kidney of Sahib would understand; and at the end I said, “An order has reached us here from the dead that this is a Sahibs’ war. I take the soul of my Kurban Sahib to witness that I give over to the justice of the Sahibs these Sahibs who have made me childless.” Then I gave him the ropes and fell down senseless, my heart being very full, but my belly was empty, except for the little opium . They put me into a cart with one of their wounded, and after a while I understood that they had fought against the Boer-log for two days and two nights. It was all one big trap, Sahib, of which we, with Kurban Sahib, saw no more than the outer edge. They were very angry, the _Durro Muts_—very angry indeed. I have never seen Sahibs so angry. They buried my Kurban Sahib with the rites of his faith upon the top of the ridge overlooking the house, and I said the proper prayers of the faith, and Sikandar Khan prayed",opium,Male,Sikandar Khan
4167,"know--and he operated immediately.... Save it? Not a chance--arteries all torn--circulation stopped--nothing for it but the knife! The other leg we may save. He has a splendid constitution. Couldn't have kept him so long under chloroform else."" ""The other leg?"" ""Compound comminuted fracture of tibia and fibula, with extensive laceration of soft parts. Much extravasation. But vitality retained. Oh yes!--we may save that one. It's in plaster of Paris. He was removed into the surgical ward an hour ago. Do you want to see him?--he can't talk, I fancy, and he'd better not try. He's had a good deal of opium to allay pain, you see."" ""_May_ I see him? I should like to say I have to his little girl. Poor child! The _delirium tremens_ case was her uncle, and she has no mother. She's the poor chap's only child."" The House Surgeon put a book he had been looking into as he talked, inside a desk and locked it; wrote with extreme rapidity on half a sheet of note-paper as people write on the stage; handed it to a chubby nurse who seemed to have been indulging optimism while waiting for it; remarked to her, ""That's three hundred and",opium,Male,May
